Date,Close,TotalValue,Cash,Holdings
2024-12-18,74.806,75128.3,23.0995,1004
2024-12-19,74.5685,74889.9,74889.9,0
2024-12-20,80.9805,74889.9,63.9465,924
2024-12-23,84.0677,77742.5,63.9465,924
2024-12-24,90.2421,83447.7,63.9465,924
2024-12-25,88.5798,81911.7,63.9465,924
2024-12-26,90.0047,83228.3,63.9465,924
2024-12-27,87.6299,81034,81034,0
2024-12-30,88.6985,81034,81034,0
2024-12-31,95.4667,81034,78.198,848
2025-01-02,91.9045,78013.2,78.198,848
2025-01-03,87.1549,73985.6,73985.6,0
2025-01-06,87.6299,73985.6,73985.6,0
2025-01-07,89.7672,73985.6,73985.6,0
2025-01-08,91.1921,73985.6,28.8032,811
2025-01-09,85.2551,69170.7,69170.7,0
2025-01-10,84.8989,69170.7,69170.7,0
2025-01-13,79.3181,69170.7,69170.7,0
2025-01-14,79.5556,69170.7,69170.7,0
2025-01-15,78.3682,69170.7,69170.7,0
2025-01-16,79.1994,69170.7,69170.7,0
2025-01-17,81.0992,69170.7,74.1644,852
2025-01-20,81.6929,69676.5,74.1644,852
2025-01-21,81.3367,69373,74.1644,852
2025-01-22,84.8989,72408,74.1644,852
2025-02-03,84.5426,72104.5,74.1644,852
2025-02-04,81.8116,69777.7,69777.7,0
2025-02-05,82.7616,69777.7,69777.7,0
2025-02-06,81.5742,69777.7,69777.7,0
2025-02-07,82.999,69777.7,58.4936,840
2025-02-10,80.268,67483.6,67483.6,0
2025-02-11,78.3682,67483.6,67483.6,0
2025-02-12,77.537,67483.6,67483.6,0
2025-02-13,78.1307,67483.6,67483.6,0
2025-02-14,77.537,67483.6,67483.6,0
2025-02-17,78.3682,67483.6,8.62217,861
2025-02-18,81.2179,69937.3,8.62217,861
2025-02-19,81.2179,69937.3,8.62217,861
2025-02-20,80.5055,69323.9,8.62217,861
2025-02-21,80.0305,68914.9,68914.9,0
2025-02-24,82.4053,68914.9,24.0577,836
2025-02-25,80.5055,67326.6,67326.6,0
2025-02-26,80.3868,67326.6,67326.6,0
2025-02-27,78.9619,67326.6,67326.6,0
2025-03-03,78.012,67326.6,67326.6,0
2025-03-04,78.7244,67326.6,67326.6,0
2025-03-05,78.6057,67326.6,67326.6,0
2025-03-06,77.2995,67326.6,67326.6,0
2025-03-07,76.1121,67326.6,67326.6,0
2025-03-10,75.5184,67326.6,67326.6,0
2025-03-11,73.1436,67326.6,67326.6,0
2025-03-12,73.9748,67326.6,67326.6,0
2025-03-13,71.3625,67326.6,67326.6,0
2025-03-14,71.4813,67326.6,67326.6,0
2025-03-17,64.3569,67326.6,67326.6,0
2025-03-18,57.945,67326.6,67326.6,0
2025-03-19,52.2455,67326.6,67326.6,0
2025-03-20,47.0209,67326.6,67326.6,0
2025-03-21,42.3901,67326.6,67326.6,0
2025-03-24,38.2342,67326.6,67326.6,0
2025-03-25,34.4345,67326.6,67326.6,0
2025-03-26,30.9911,67326.6,67326.6,0
2025-03-27,34.0783,67326.6,67326.6,0
2025-03-28,31.8222,67326.6,67326.6,0
2025-03-31,28.735,67326.6,67326.6,0
2025-04-01,28.9725,67326.6,67326.6,0
2025-04-02,30.1599,67326.6,67326.6,0
2025-04-07,27.1914,67326.6,67326.6,0
2025-04-08,24.5791,67326.6,67326.6,0
2025-04-09,22.1331,67326.6,67326.6,0
